Sl No,Accident_Index,Date,Day_of_Week,Time_of_Accident,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Nature_of_Accident_B1,Nature_of_Accident_B2,Nature_of_Accident_B3,Accident_Severity_C,Classification_of_Accident_C1,Classification_of_Accident_C2,Classification_of_Accident_C3,Causes_D1,Causes_D2,Causes_D3,Causes_D4,Causes_D5,Road_Feature_E,Road_Condition_F,Intersection_Type_G,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Vehicle_Type_Involved_J_V3,Vehicle_Type_Involved_J_V4,Number_of_Vehicles,Number_of_Casualties_Fatel,Number_of_Casualties_GrievousInjury,Number_of_Casualties_MinorInjury,Number_of_Casualties_NotInjured,Number_of_Casualties,Remarks
798,201700169,42875,6,02:55,2,237.75,LHS,3,,,1,1,,,2,,,,,2,1,2,2,11,,,,1,2,1,,,3,
799,201700170,42876,7,08:00,2,184.65,RHS,3,,,4,4,,,3,,,,,2,4,2,2,6,,,,1,,,,1,0,
800,201700171,42876,7,20:30,2,188.8,RHS,3,,,3,3,,,2,,,,,2,1,9,1,6,,,,1,,,3,,3,
801,201700172,42876,7,18:28,2,239,RHS,1,,,3,3,,,1,,,,,1,4,9,1,1,,,,1,,,1,,1,
802,201700173,42878,2,10:34,2,159.55,LHS,2,,,2,2,,,4,,,,,2,1,3,2,5,,,,1,,2,,,2,
803,201700174,42879,3,07:00,2,164.85,RHS,8,,,4,4,,,3,,,,,2,1,1,2,1,,,,1,,,,1,0,
804,201700175,42879,3,09:40,2,228.8,LHS,1,,,3,3,,,3,,,,,2,1,3,2,6,,,,1,,,3,,3,
805,201700176,42879,3,11:30,2,213.6,RHS,1,,,3,3,,,2,,,,,2,1,2,2,1,,,,1,,,1,,1,
806,201700177,42880,4,15:10,2,156.4,LHS,2,,,2,2,,,2,,,,,2,1,1,10,5,,,,1,,1,3,,4,
807,201700178,42880,4,15:30,2,205,LHS,4,,,4,4,,,5,,,,,2,1,3,10,1,,,,1,,,,1,0,
808,201700179,42882,6,01:05,2,188.8,RHS,6,,,3,3,,,1,,,,,1,1,9,2,1,,,,1,,,1,,1,
809,201700180,42882,6,17:15,2,165.5,LHS,3,,,3,3,,,2,,,,,2,1,1,10,6,,,,1,,,1,,1,
810,201700181,42882,6,18:00,2,210.6,LHS,5,,,3,3,,,4,,,,,2,1,2,1,5,,,,1,,,1,,1,
811,201700182,42883,7,01:25,2,213.6,RHS,1,,,4,4,,,3,,,,,2,1,2,2,6,,,,1,,,,1,0,
812,201700183,42883,7,19:48,2,204.7,LHS,5,,,2,2,,,1,,,,,2,1,3,1,1,,,,1,,2,,,2,
813,201700184,42884,1,02:50,2,212.8,LHS,1,,,4,4,,,3,,,,,2,1,2,2,3,,,,1,,,,1,0,
814,201700185,42885,2,19:30,2,236.2,LHS,3,,,2,1,,,3,,,,,2,4,3,2,15,,,,1,,1,1,,2,
815,201700186,42886,3,11:52,2,229.4,LHS,2,,,2,3,,,2,,,,,2,1,2,3,1,,,,1,,1,1,,2,
816,201700187,42888,5,08:15,2,176.8,RHS,4,,,4,,,,2,,,,,4,1,9,1,11,,,,1,,,,1,0,
817,201700188,42889,6,20:00,2,223.8,LHS,3,,,3,3,,,4,,,,,4,1,9,2,6,6,,,2,,,1,,1,
818,201700189,42890,7,08:30,2,191.7,RHS,1,,,4,4,,,2,,,,,2,1,9,1,6,,,,1,,,,1,0,
819,201700190,42890,7,21:50,2,246.8,RHS,1,,,2,2,,,3,,,,,4,1,9,5,11,,,,1,,1,1,,2,
820,201700191,42891,1,13:10,2,238.7,LHS,3,,,4,4,,,3,,,,,4,1,2,2,11,,,,1,,,,1,0,
821,201700192,42892,2,01:17,2,196.4,RHS,1,,,3,3,,,2,,,,,4,1,9,1,1,,,,1,,,2,,2,
822,201700193,42892,2,07:30,2,190.2,LHS,3,,,3,3,,,2,,,,,4,1,9,1,6,,,,1,,,3,,3,
823,201700194,42892,2,12:50,2,198.6,LHS,1,,,3,3,,,3,,,,,4,2,9,2,1,,,,1,,,3,,3,
824,201700195,42892,2,20:35,2,206,RHS,5,,,4,4,,,4,,,,,4,1,9,2,14,,,,1,,,,1,0,
825,201700196,42893,3,23:30,2,164.6,RHS,2,,,2,2,,,4,,,,,4,1,9,2,1,,,,1,,1,,,1,
826,201700197,42893,3,23:20,2,188.1,RHS,2,,,4,4,,,3,,,,,4,1,9,2,1,,,,1,,,,1,0,
827,201700198,42893,3,04:45,2,201,LHS,1,,,3,3,,,3,,,,,4,1,9,1,1,,,,1,,,2,,2,
828,201700199,42893,3,15:30,2,228.9,LHS,3,,,3,3,,,3,,,,,4,1,9,2,1,,,,1,,,2,,2,
829,201700200,42894,4,20:20,2,180.6,RHS,3,,,2,2,,,2,,,,,4,1,9,2,5,,,,1,,1,,,1,
830,201700201,42895,5,16:25,2,159.2,RHS,5,,,2,2,,,3,,,,,4,1,1,2,1,,,,1,,1,,,1,
831,201700202,42896,6,00:00,2,157.6,RHS,3,,,4,4,,,3,,,,,4,1,9,1,5,,,,1,,,,1,0,
832,201700203,42896,6,06:50,2,223.7,LHS,3,,,2,2,,,3,,,,,4,1,9,1,6,,,,1,,1,,,1,
833,201700204,42897,7,12:43,2,189.6,RHS,5,,,1,1,,,2,,,,,4,1,9,2,1,,,,1,1,,,,1,
834,201700205,42897,7,20:10,2,239.7,LHS ,1,,,2,2,,,1,,,,,2,1,9,4,11,,,,1,,1,,,1,
835,201700206,42899,2,02:45,2,194,LHS,1,,,3,3,,,2,,,,,4,1,9,1,11,,,,1,,,7,,7,
836,201700207,42899,2,05:20,2,196.1,LHS,3,,,2,2,,,3,,,,,4,1,9,1,1,,,,1,,2,,,2,
837,201700208,42900,3,13:05,2,208.4,RHS,3,,,4,4,,,3,,,,,4,1,9,2,6,,,,1,,,,1,0,
838,201700209,42901,4,06:10,2,240.4,RHS,1,,,2,2,,,2,,,,,4,1,9,1,1,,,,1,,1,2,,3,
839,201700210,42902,5,07:30,2,188,RHS,6,,,3,3,,,1,,,,,2,1,9,1,1,,,,1,,,1,,1,
840,201700211,42902,5,09:00,2,179.25,LHS,1,,,2,2,,,3,,,,,4,1,9,1,1,,,,1,,2,,,2,
841,201700212,42902,5,06:00,2,242.2,LHS,3,,,4,4,,,2,,,,,4,1,9,1,1,,,,1,,,,1,0,
842,201700213,42903,6,03:10,2,209.6,LHS,1,,,4,4,,,2,,,,,4,1,9,1,6,,,,1,,,,1,0,
843,201700214,42905,1,00:55,2,178.2,LHS,1,,,4,4,,,3,,,,,4,2,9,1,6,,,,1,,,,1,0,
844,201700215,42905,1,07:10,2,248.1,LHS,1,,,4,4,,,3,,,,,4,1,9,1,11,,,,1,,,,1,0,
845,201700216,42906,2,22:00,2,231,LHS,3,,,2,2,,,2,,,,,4,1,3,2,15,,,,1,,1,1,,2,
846,201700217,42907,3,08:00,2,194.9,LHS,1,,,4,4,,,2,,,,,4,1,9,1,1,,,,1,,,,1,0,
847,201700218,42908,4,01:05,2,164.9,RHS,2,,,3,3,,,2,,,,,4,2,1,1,1,,,,1,,,1,,1,
848,201700219,42908,4,12:03,2,156.4,RHS,2,,,3,3,,,2,,,,,4,1,9,2,11,,,,1,,,1,,1,
849,201700220,42908,4,20:00,2,179.2,LHS,2,,,4,4,,,4,,,,,4,2,9,2,1,,,,1,,,,1,0,
850,201700221,42910,6,05:58,2,207.3,LHS,2,,,2,2,,,4,,,,,4,1,9,1,14,,,,1,,3,,,3,
851,201700222,42911,7,01:45,2,200.2,RHS,1,,,2,2,,,2,,,,,4,1,9,1,3,,,,1,,2,,,2,
852,201700223,42912,1,03:49,2,240,RHS,3,,,3,3,,,3,,,,,4,1,9,1,5,,,,1,,,3,,3,
853,201700224,42913,2,14:10,2,181.7,LHS,1,,,2,2,,,2,,,,,4,1,9,2,6,,,,1,,2,1,,3,
854,201700225,42913,2,20:55,2,180.9,RHS,1,,,2,2,,,3,,,,,4,1,9,2,5,,,,1,,1,,,1,
855,201700226,42914,3,18:23,2,209.6,LHS,3,,,1,1,,,3,,,,,4,2,9,2,14,,,,1,1,,,,1,
856,201700227,42915,4,00:41,2,151.3,RHS,1,,,4,4,,,2,,,,,4,2,9,1,1,,,,1,,,,1,0,
857,201700228,42915,4,13:05,2,226,LHS,1,,,3,3,,,2,,,,,4,1,9,2,6,,,,1,,,1,,1,
858,201700229,42915,4,16:55,2,200.8,LHS,3,,,3,3,,,3,,,,,4,1,9,2,11,,,,1,,,1,,1,
859,201700230,42916,5,09:40,2,224.8,RHS,1,,,3,3,,,3,,,,,4,2,9,1,5,,,,1,,,1,,1,
860,201700231,42916,5,11:15,2,232.2,RHS,1,,,3,3,,,2,,,,,4,1,1,1,6,,,,1,,,1,,1,
861,201700232,42917,6,15:20,2,154.4,RHS,1,,,2,2,,,2,,,,,2,1,9,2,5,,,,1,,1,,,1,
862,201700233,42918,7,15:37,2,230.5,RHS,8,,,3,3,,,4,,,,,2,1,9,2,7,,,,1,,,1,,1,
863,201700234,42918,7,18:00,2,201.2,LHS,1,,,2,2,,,2,,,,,2,1,9,2,6,,,,1,,1,1,,2,
864,201700235,42919,1,18:44,2,177.2,LHS,,,,3,3,,,4,,,,,2,1,9,2,6,,,,1,,,1,,1,
865,201700236,42920,2,05:25,2,162.6,LHS,3,,,2,2,,,3,,,,,2,2,9,1,11,,,,1,,1,,,1,
866,201700237,42920,2,08:15,2,179.3,RHS,6,,,2,2,,,3,,,,,2,1,9,1,1,,,,1,,1,1,,2,
867,201700238,42920,2,20:05,2,198.3,LHS,2,,,2,2,,,3,,,,,2,1,9,2,11,,,,1,,1,,,1,
868,201700239,42922,4,05:20,2,159.9,RHS,8,,,3,3,,,4,,,,,2,1,9,1,1,,,,1,,,2,,2,
869,201700240,42922,4,08:15,2,230,RHS,1,,,3,3,,,2,,,,,2,1,9,1,6,,,,1,,,1,,1,
870,201700241,42922,4,19:44,2,248.7,RHS,3,,,3,3,,,3,,,,,2,1,9,2,11,,,,1,,,1,,1,
871,201700242,42923,5,16:05,2,165.95,LHS,1,,,3,3,,,2,,,,,2,2,9,2,5,,,,1,,,2,,2,
872,201700243,42924,6,13:15,2,225.3,LHS,1,,,2,2,,,2,,,,,2,1,1,2,6,,,,1,,1,,,1,
873,201700244,42925,7,15:00,2,243.4,RHS,1,,,2,2,,,2,,,,,2,1,9,2,3,,,,1,,1,,,1,
874,201700245,42926,1,16:45,2,235.8,LHS,3,,,3,3,,,3,,,,,2,1,2,2,1,,,,1,,,1,,1,
875,201700246,42926,1,19:40,2,221.4,RHS,2,,,4,4,,,3,,,,,2,1,1,2,6,,,,1,,,,1,0,
876,201700247,42926,1,17:47,2,234.8,RHS,3,,,3,3,,,4,,,,,2,1,2,2,6,,,,1,,,1,,1,
877,201700248,42927,2,07:30,2,230.2,RHS,3,,,4,4,,,3,,,,,2,1,9,1,11,,,,1,,,,1,0,
878,201700249,42927,2,19:45,2,171,LHS,3,,,3,3,,,3,,,,,2,1,9,2,1,,,,1,,,1,,1,
879,201700250,42929,4,20:50,2,166.8,LHS,3,,,1,1,,,4,,,,,2,1,9,2,11,,,,1,1,,,,1,
880,201700251,42929,4,10:45,2,243,RHS,1,,,2,2,,,1,,,,,2,1,9,1,5,,,,1,,1,,,1,
881,201700252,42930,5,05:38,2,183.25,RHS,1,,,4,4,,,3,,,,,2,1,9,1,6,,,,1,,,,1,0,
882,201700253,42931,6,20:50,2,233.4,LHS,3,,,1,1,,,4,,,,,2,1,9,2,5,,,,1,1,,,,1,
883,201700254,42932,7,21:20,2,239.6,LHS ,3,,,2,2,,,2,,,,,1,1,9,2,6,,,,1,,1,1,,2,
884,201700255,42932,7,18:15,2,150,RHS,1,,,2,2,,,3,,,,,2,2,9,2,15,,,,1,,15,20,,35,
885,201700256,42934,2,05:40,2,208.95,LHS,3,,,1,1,,,2,,,,,2,1,9,1,11,,,,1,2,,,,2,
886,201700257,42936,4,22:26,2,172.25,LHS,3,,,1,1,,,4,,,,,2,1,9,2,6,,,,1,1,,,,1,
887,201700258,42938,6,15:15,2,213.6,LHS,1,,,3,3,,,3,,,,,2,1,2,2,3,,,,1,,,2,,2,
888,201700259,42939,7,18:50,2,188,RHS,3,,,3,3,,,2,,,,,1,1,9,2,5,,,,1,,,1,,1,
889,201700260,42939,7,20:17,2,227.4,LHS,2,,,2,2,,,4,,,,,2,1,9,2,11,,,,1,,1,,,1,
890,201700261,42940,1,03:06,2,185.4,LHS,3,,,4,4,,,2,,,,,2,2,9,1,1,,,,1,,,,1,0,
891,201700262,42942,3,11:30,2,215.9,LHS,3,,,4,4,,,3,,,,,2,2,9,1,11,,,,1,,,,1,0,
892,201700263,42942,3,18:30,2,241.5,LHS,1,,,3,3,,,2,,,,,2,1,9,2,6,,,,1,,,2,,2,
893,201700264,42943,4,08:00,2,228,LHS,1,,,2,2,,,2,,,,,2,1,1,1,5,,,,1,,1,,,1,
894,201700265,42943,4,23:08,2,238.1,RHS,1,,,4,4,,,2,,,,,5,1,9,2,5,,,,1,,,,1,0,
895,201700266,42943,4,19:55,2,237.2,LHS,3,,,2,2,,,2,,,,,2,1,2,2,6,,,,1,,1,,,1,
896,201700267,42944,5,12:55,2,165.4,RHS,4,,,4,4,,,2,,,,,2,2,9,2,6,,,,1,,,,1,0,
897,201700268,42946,7,17:45,2,180.2,RHS,8,,,4,4,,,5,,,,,2,1,9,2,1,,,,1,,,,1,0,
898,201700269,42947,1,21:50,2,166.4,LHS,3,,,4,4,,,3,,,,,2,2,9,2,6,,,,1,,,,1,0,
899,201700270,42948,2,08:10,2,187.4,RHS,3,,,3,3,,,2,,,,,2,1,9,1,1,,,,1,,,1,,1,
900,201700271,42949,3,18:30,2,161.55,RHS,4,,,3,3,,,4,,,,,4,2,1,2,1,,,,1,,,2,,2,
901,201700272,42949,3,15:15,2,242,LHS,3,,,4,4,,,2,,,,,4,1,9,2,14,,,,1,,,,1,0,
902,201700273,42950,4,14:20,2,173.15,LHS,1,,,2,4,,,3,,,,,4,1,1,2,11,,,,1,,1,,,1,
903,201700274,42951,5,12:35,2,157.05,RHS,1,,,2,2,,,3,,,,,4,1,9,2,5,,,,1,,1,,,1,
904,201700275,42951,5,13:35,2,237.7,LHS,4,,,4,2,,,4,,,,,4,1,2,2,5,,,,1,,,,1,0,
905,201700276,42952,6,06:20,2,170.05,RHS,3,,,3,3,,,2,,,,,4,1,9,1,6,,,,1,,,2,,2,
906,201700277,42952,6,17:20,2,210.4,RHS,1,,,4,4,,,2,,,,,4,1,3,2,6,,,,1,,,,1,0,
907,201700278,42952,6,23:38,2,228.6,RHS,3,,,2,2,,,4,,,,,4,1,3,2,1,,,,1,,1,,,1,
908,201700279,42955,2,19:54,2,185.5,RHS,1,,,2,2,,,1,,,,,4,2,2,2,1,,,,1,,1,,,1,
909,201700280,42956,3,16:45,2,168.4,LHS,1,,,3,3,,,3,,,,,4,1,9,2,5,,,,1,,,1,,1,
910,201700281,42956,3,22:15,2,241.3,RHS,3,,,4,4,,,4,,,,,4,1,9,2,11,,,,1,,,,1,0,
911,201700282,42958,5,06:00,2,197.5,LHS,3,,,2,2,,,2,,,,,4,1,9,1,6,,,,1,,1,1,,2,
912,201700283,42958,5,01:50,2,213.4,LHS,1,,,3,3,,,3,,,,,4,1,2,1,15,,,,1,,,2,,2,
913,201700284,42958,5,11:40,2,219.9,LHS,4,,,4,4,,,3,,,,,4,1,1,1,1,,,,1,,,,1,0,
914,201700285,42959,6,06:50,2,185.15,LHS,1,,,2,2,,,3,,,,,4,2,2,1,1,,,,1,,1,1,,2,
915,201700286,42960,7,20:07,2,153.6,LHS,3,,,1,1,,,2,,,,,4,1,9,2,14,,,,1,1,6,,,7,
916,201700287,42960,7,10:26,2,202.6,RHS,4,,,2,2,,,2,,,,,4,1,9,1,1,,,,1,,1,1,,2,
917,201700288,42960,7,14:05,2,239,LHS,1,,,3,3,,,3,,,,,4,4,9,2,1,,,,1,,,1,,1,
918,201700289,42961,1,20:32,2,237.6,LHS,3,,,2,2,,,3,,,,,4,1,2,2,11,,,,1,,1,,,1,
919,201700290,42963,3,11:50,2,178.9,LHS,3,,,2,2,,,2,,,,,4,1,9,2,6,,,,1,,1,,,1,
920,201700291,42963,3,16:35,2,152.6,RHS,3,,,2,2,,,1,,,,,4,2,9,2,6,,,,1,,2,,,2,
921,201700292,42964,4,03:45,2,251.7,LHS,8,,,3,3,,,4,,,,,4,1,1,1,6,,,,1,,,1,,1,
922,201700293,42967,7,15:30,2,242.4,LHS,3,,,4,4,,,3,,,,,4,1,9,2,6,,,,1,,,,1,0,
923,201700294,42967,7,16:06,2,220,RHS,1,,,3,3,,,2,,,,,4,1,1,2,1,,,,1,,,1,,1,
924,201700295,42968,1,13:00,2,230.2,RHS,3,,,3,3,,,1,,,,,4,1,9,2,1,,,,1,,,2,,2,
925,201700296,42969,2,17:30,2,159,RHS,1,,,3,3,,,3,,,,,4,1,9,2,14,,,,1,,,1,,1,
926,201700297,42969,2,23:25,2,162.5,LHS,3,,,3,3,,,2,,,,,4,2,1,2,6,,,,1,,,1,,1,
927,201700298,42971,4,05:50,2,160.4,LHS,3,,,3,3,,,2,,,,,4,1,3,1,1,,,,1,,,2,,2,
928,201700299,42971,4,07:38,2,228.6,LHS,1,,,2,2,,,3,,,,,4,1,3,1,6,,,,1,,1,,,1,
929,201700300,42973,6,05:55,2,156.9,LHS,3,,,4,4,,,2,,,,,4,1,9,1,1,,,,1,,,,1,0,
930,201700301,42973,6,14:30,2,204.5,LHS,3,,,4,4,,,3,,,,,4,1,3,2,1,,,,1,,,,1,0,
931,201700302,42975,1,06:30,2,215.4,LHS,1,,,4,4,,,3,,,,,4,1,9,4,6,,,,1,,,,1,0,
932,201700303,42979,5,00:15,2,189.6,RHS,8,,,4,4,,,4,,,,,4,1,9,2,14,,,,1,,,,1,0,
933,201700304,42980,6,12:13,2,152.5,RHS,3,,,4,4,,,4,,,,,4,2,9,1,5,,,,1,,,,1,0,
934,201700305,42980,6,06:55,2,234.9,RHS,3,,,1,1,,,4,,,,,4,1,2,2,1,,,,1,1,1,,,2,
935,201700306,42981,7,06:45,2,216.4,LHS,1,,,4,4,,,4,,,,,4,2,9,2,5,,,,1,,,,1,0,
936,201700307,42982,1,00:00,2,208.1,RHS,3,,,1,1,,,2,,,,,4,1,9,4,1,,,,1,1,,,,1,
937,201700308,42984,3,16:45,2,228.4,LHS,6,,,3,3,,,1,,,,,4,1,3,1,1,,,,1,,,1,,1,
938,201700309,42985,4,12:10,2,177.4,LHS,3,,,2,2,,,2,,,,,4,1,9,1,5,,,,1,,1,,,1,
939,201700310,42985,4,17:48,2,238.4,RHS,1,,,3,3,,,2,,,,,4,1,2,1,11,,,,1,,,1,,1,
940,201700311,42986,5,07:45,2,186.15,LHS,3,,,2,2,,,3,,,,,4,2,9,2,6,,,,1,,1,,,1,
941,201700312,42989,1,08:25,2,169,RHS,1,,,4,4,,,2,,,,,4,1,9,2,3,,,,1,,,,1,0,
942,201700313,42990,2,15:25,2,175.4,RHS,3,,,2,2,,,2,,,,,4,1,9,1,6,,,,1,,1,,,1,
943,201700314,42992,4,11:10,2,236.4,RHS,3,,,2,2,,,2,,,,,4,1,9,2,6,,,,1,,1,,,1,
944,201700315,42993,5,09:45,2,189.6,RHS,6,,,2,2,,,3,,,,,4,1,9,2,5,,,,1,,1,,,1,
945,201700316,42993,5,20:25,2,246.6,LHS,1,,,4,4,,,5,,,,,4,1,9,1,11,,,,1, ,,,1,0,
946,201700317,42994,6,07:07,2,196.6,LHS,1,,,3,3,,,3,,,,,4,1,9,2,1,,,,1,,,5,,5,
947,201700318,42998,3,18:50,2,159,LHS,3,,,3,3,,,3,,,,,4,2,3,1,6,,,,1,,,2,,2,
948,201700319,42998,3,19:20,2,179.9,RHS,2,,,2,2,,,4,,,,,4,1,9,1,1,,,,1,,1,2,,3,
949,201700320,42998,3,20:35,2,183.5,RHS,1,,,2,2,,,2,,,,,2,1,9,1,5,,,,1,,1,,,1,
950,201700321,42999,4,16:05,2,223.9,RHS,6,,,3,3,,,1,,,,,4,2,9,1,1,,,,1,,,1,,1,
951,201700322,43000,5,15:55,2,152.45,RHS,1,,,3,3,,,2,,,,,4,1,9,1,6,,,,1,,,1,,1,
952,201700323,43000,5,23:30,2,168.1,RHS,3,,,2,2,,,3,,,,,4,1,2,1,6,,,,1,,1,,,1,
953,201700324,43000,5,07:50,2,228.7,RHS,6,,,3,3,,,3,,,,,4,1,3,2,6,,,,1,,,1,,1,
954,201700325,43000,5,23:55,2,241.1,RHS,3,,,1,1,,,2,,,,,4,1,9,1,6,,,,1,1,1,,,2,
955,201700326,43002,7,10:00,2,168.45,LHS,8,,,4,4,,,4,,,,,4,1,9,2,15,,,,1,,,,1,0,
956,201700327,43002,7,12:05,2,187.55,LHS,1,,,2,2,,,2,,,,,4,1,9,1,6,,,,1,,1,1,,2,
957,201700328,43004,2,19:05,2,150.5,LHS,1,,,4,4,,,2,,,,,4,1,9,1,6,,,,1,,,,1,0,
958,201700329,43004,2,22:15,2,211.15,LHS,3,,,2,2,,,3,,,,,4,1,2,1,15,,,,1,,1,,,1,
959,201700330,43005,3,11:10,2,183.9,RHS,1,,,3,3,,,2,,,,,4,1,9,2,1,,,,1,,,1,,1,
960,201700331,43005,3,23:15,2,178,RHS,2,,,2,2,,,1,,,,,2,1,9,1,1,,,,1,,2,,,2,
961,201700332,43005,3,22:15,2,211.15,LHS,6,,,3,3,,,3,,,,,4,1,2,1,5,,,,1,,,1,,1,
962,201700333,43007,5,04:30,2,225.4,LHS,3,,,4,4,,,4,,,,,4,1,9,2,6,,,,1,,,,1,0,
963,201700334,43008,6,18:47,2,169.65,RHS,1,,,2,2,,,2,,,,,4,1,9,1,6,,,,1,,1,1,,2,
964,201700335,43008,6,10:10,2,152.45,LHS,3,,,2,3,,,3,,,,,4,1,9,2,6,,,,1,,2,,,2,
965,201700336,43009,7,09:20,2,216.4,LHS ,4,,,2,2,,,3,,,,,2,1,3,1,5,,,,1,,1,,,1,
966,201700337,43012,3,04:00,2,189.6,LHS,1,,,3,3,,,4,,,,,4,1,9,1,6,,,,1,,,2,,2,
967,201700338,43012,3,21:50,2,189.7,LHS,2,,,4,4,,,1,,,,,4,1,9,2,6,,,,1,,,,1,0,
968,201700339,43012,3,18:00,2,208.8,LHS,3,,,2,2,,,4,,,,,4,2,9,2,6,,,,1,,1,2,,3,
969,201700340,43015,6,19:22,2,228.6,RHS,2,,,3,3,,,4,,,,,4,1,3,2,1,,,,1,,,1,,1,
970,201700341,43016,7,09:25,2,151.35,LHS,2,,,2,2,,,4,,,,,4,2,9,1,1,,,,1,,2,,,2,
971,201700342,43016,7,18:35,2,189.3,LHS,3,,,2,2,,,2,,,,,4,1,2,2,1,,,,1,,2,,,2,
972,201700343,43016,7,02:20,2,239.9,RHS,3,,,4,4,,,2,,,,,4,2,2,1,6,,,,1,,,,1,0,
973,201700344,43016,7,14:20,2,228.6,RHS,3,,,2,2,,,2,,,,,4,1,3,2,1,,,,1,,1,,,1,
974,201700345,43017,1,19:30,2,180,RHS,3,,,2,3,,,4,,,,,2,1,9,2,6,,,,1,,2,,,2,
975,201700346,43017,1,13:00,2,239.4,RHS,6,,,2,2,,,2,,,,,4,2,2,2,1,,,,1,,1,2,,3,
976,201700347,43017,1,15:20,2,239.5,LHS,8,,,2,2,,,5,,,,,4,2,2,2,1,,,,1,,1,1,,2,
977,201700348,43019,3,05:45,2,157.6,LHS,3,,,2,2,,,2,,,,,4,1,9,1,6,,,,1,,1,,,1,
978,201700349,43019,3,08:55,2,189.3,LHS,1,,,4,4,,,2,,,,,4,1,2,1,6,,,,1,,,,1,0,
979,201700350,43020,4,04:05,2,226,RHS,3,,,4,4,,,3,,,,,4,2,9,1,1,,,,1,,,,1,0,
980,201700351,43020,4,23:00,2,227.9,LHS,2,,,4,4,,,4,,,,,4,1,3,2,1,,,,1,,,,1,0,
981,201700352,43021,5,01:40,2,184.3,LHS,8,,,4,4,,,2,,,,,4,2,2,1,5,,,,1,,,,1,0,
982,201700353,43021,5,01:17,2,167.5,RHS,6,,,2,2,,,2,,,,,4,1,9,1,5,,,,1,,1,,,1,
983,201700354,43021,5,19:15,2,168,RHS,6,,,2,2,,,2,,,,,4,1,9,2,14,,,,1,,1,,,1,
984,201700355,43021,5,22:35,2,166.7,LHS,3,,,3,3,,,2,,,,,4,1,9,2,1,,,,1,,,2,,2,
985,201700356,43021,5,04:40,2,248.8,LHS,3,,,3,3,,,2,,,,,4,1,9,1,6,,,,1,,,2,,2,
986,201700357,43021,5,21:30,2,242.2,RHS,1,,,2,2,,,5,,,,,4,1,9,2,6,,,,1,,1,,,1,
987,201700358,43023,7,07:10,2,191.5,RHS,8,,,1,1,,,4,,,,,4,2,1,1,5,,,,1,1,,,,1,
988,201700359,43023,7,10:10,2,195.4,RHS,2,,,2,2,,,4,,,,,4,1,9,1,5,,,,1,,1,2,,3,
989,201700360,43023,7,03:05,2,246.2,LHS,2,,,4,4,,,3,,,,,4,1,9,1,1,,,,1,,,,1,0,
990,201700361,43023,7,04:30,2,214.8,RHS,1,,,4,4,,,1,,,,,4,2,9,1,11,,,,1,,,,1,0,
991,201700362,43024,1,00:20,2,191.3,LHS,1,,,4,4,,,1,,,,,4,1,9,1,6,,,,1,,,,1,0,
992,201700363,43025,2,15:55,2,171.8,LHS,6,,,3,3,,,2,,,,,4,1,9,2,14,,,,1,,,2,,2,
993,201700364,43025,2,18:25,2,157.8,LHS,2,,,2,2,,,2,,,,,4,1,1,2,1,,,,1,,1,,,1,
994,201700365,43026,3,08:25,2,231,LHS,3,,,2,2,,,4,,,,,4,1,9,1,1,,,,1,,2,,,2,
995,201700366,43027,4,03:00,2,241.6,LHS ,6,,,3,3,,,2,,,,,2,1,9,1,6,,,,1,,,1,,1,
996,201700367,43028,5,14:15,2,152.4,LHS,3,,,2,2,,,2,,,,,4,2,9,2,14,,,,1,,2,,,2,
997,201700368,43029,6,23:40,2,222.2,RHS,1,,,3,3,,,3,,,,,4,1,9,2,1,,,,1,,,1,,1,
998,201700369,43030,7,19:26,2,211.8,RHS,3,,,2,2,,,3,,,,,4,1,2,1,6,,,,1,,1,,,1,
999,201700370,43031,1,18:10,2,213.7,RHS,6,,,3,3,,,3,,,,,4,1,3,2,6,,,,1,,,1,,1,
1000,201700371,43031,1,09:00,2,188,RHS,6,,,2,2,,,3,,,,,2,1,2,1,1,,,,1,,1,,,1,
1001,201700372,43031,1,17:15,2,167.35,RHS,1,,,2,2,,,2,,,,,4,1,9,2,11,,,,1,,1,,,1,
1002,201700373,43031,1,19:20,2,161.35,LHS,6,,,3,3,,,1,,,,,4,1,9,2,6,,,,1,,,1,,1,
1003,201700374,43031,1,20:15,2,187.8,RHS,3,,,2,2,,,3,,,,,4,1,2,2,6,,,,1,,1,,,1,
1004,201700375,43031,1,19:50,2,243.4,LHS,3,,,3,3,,,2,,,,,4,2,2,2,6,,,,1,,,1,,1,
1005,201700376,43032,2,13:00,2,152.5,RHS,3,,,4,4,,,3,,,,,4,2,9,2,6,,,,1,,,,1,0,
1006,201700377,43033,3,21:55,2,235,LHS,3,,,2,2,,,2,,,,,4,1,2,1,11,,,,1,,1,,,1,
1007,201700378,43034,4,01:10,2,197.8,LHS,1,,,4,4,,,4,,,,,4,1,9,1,3,,,,1,,,,1,0,
1008,201700379,43034,4,05:05,2,219.5,RHS,1,,,4,4,,,4,,,,,4,1,1,1,5,,,,1,,,,1,0,
1009,201700380,43036,6,06:30,2,171.1,LHS,1,,,4,4,,,2,,,,,4,1,9,1,11,,,,1,,,,1,0,
